No,Model,Optimizer,Activation,Time Steps,Dropout Rate,MSE,RMSE,MAE,MAPE
126,cnn_adam_sigmoid_ts15_d15,adam,sigmoid,15,0.15,0.59051,0.76845,0.62702,2.43695
127,cnn_adam_sigmoid_ts15_d20,adam,sigmoid,15,0.2,0.59353,0.77041,0.62534,2.43095
128,cnn_adagrad_relu_ts5_d1,adagrad,relu,5,0.01,0.57279,0.75683,0.59624,2.33096
129,cnn_adagrad_relu_ts5_d5,adagrad,relu,5,0.05,0.62338,0.78954,0.60888,2.36823
130,cnn_adagrad_relu_ts5_d10,adagrad,relu,5,0.1,0.73100,0.85499,0.66875,2.59886
131,cnn_adagrad_relu_ts5_d15,adagrad,relu,5,0.15,0.83666,0.91469,0.74284,2.87075
132,cnn_adagrad_relu_ts5_d20,adagrad,relu,5,0.2,0.74324,0.86212,0.68596,2.66610
133,cnn_adagrad_relu_ts10_d1,adagrad,relu,10,0.01,1.09814,1.04792,0.78895,3.04648
134,cnn_adagrad_relu_ts10_d5,adagrad,relu,10,0.05,0.59189,0.76934,0.61419,2.39074
135,cnn_adagrad_relu_ts10_d10,adagrad,relu,10,0.1,0.65873,0.81162,0.63656,2.47295
136,cnn_adagrad_relu_ts10_d15,adagrad,relu,10,0.15,0.66587,0.81601,0.64357,2.49696
137,cnn_adagrad_relu_ts10_d20,adagrad,relu,10,0.2,0.92845,0.96356,0.76496,2.95592
138,cnn_adagrad_relu_ts15_d1,adagrad,relu,15,0.01,0.64551,0.80343,0.63393,2.46184
139,cnn_adagrad_relu_ts15_d5,adagrad,relu,15,0.05,0.86298,0.92896,0.73610,2.83996
140,cnn_adagrad_relu_ts15_d10,adagrad,relu,15,0.1,0.69863,0.83584,0.68876,2.66990
141,cnn_adagrad_relu_ts15_d15,adagrad,relu,15,0.15,0.95387,0.97666,0.79083,3.04362
142,cnn_adagrad_relu_ts15_d20,adagrad,relu,15,0.2,0.87030,0.93290,0.79116,3.05191
143,cnn_adagrad_tanh_ts5_d1,adagrad,tanh,5,0.01,0.48436,0.69596,0.55500,2.16884
144,cnn_adagrad_tanh_ts5_d5,adagrad,tanh,5,0.05,0.51745,0.71934,0.55291,2.16235
145,cnn_adagrad_tanh_ts5_d10,adagrad,tanh,5,0.1,0.43726,0.66126,0.52515,2.05948
146,cnn_adagrad_tanh_ts5_d15,adagrad,tanh,5,0.15,0.67683,0.82270,0.65572,2.54057
147,cnn_adagrad_tanh_ts5_d20,adagrad,tanh,5,0.2,0.58094,0.76219,0.59715,2.32713
148,cnn_adagrad_tanh_ts10_d1,adagrad,tanh,10,0.01,0.48297,0.69496,0.54023,2.12049
149,cnn_adagrad_tanh_ts10_d5,adagrad,tanh,10,0.05,0.48391,0.69564,0.56511,2.21941
150,cnn_adagrad_tanh_ts10_d10,adagrad,tanh,10,0.1,0.55764,0.74675,0.58778,2.29193
151,cnn_adagrad_tanh_ts10_d15,adagrad,tanh,10,0.15,0.67754,0.82313,0.68156,2.63770
152,cnn_adagrad_tanh_ts10_d20,adagrad,tanh,10,0.2,0.64519,0.80324,0.63237,2.50362
153,cnn_adagrad_tanh_ts15_d1,adagrad,tanh,15,0.01,0.50301,0.70923,0.53585,2.11237
154,cnn_adagrad_tanh_ts15_d5,adagrad,tanh,15,0.05,0.53406,0.73079,0.57577,2.26183
155,cnn_adagrad_tanh_ts15_d10,adagrad,tanh,15,0.1,0.60078,0.77510,0.59219,2.34679
156,cnn_adagrad_tanh_ts15_d15,adagrad,tanh,15,0.15,0.65591,0.80988,0.65927,2.55992
157,cnn_adagrad_tanh_ts15_d20,adagrad,tanh,15,0.2,0.58206,0.76293,0.61847,2.40397
158,cnn_adagrad_sigmoid_ts5_d1,adagrad,sigmoid,5,0.01,1.07066,1.03472,0.79748,3.17853
159,cnn_adagrad_sigmoid_ts5_d5,adagrad,sigmoid,5,0.05,1.07781,1.03818,0.79658,3.17922
160,cnn_adagrad_sigmoid_ts5_d10,adagrad,sigmoid,5,0.1,1.09173,1.04486,0.80148,3.19883
161,cnn_adagrad_sigmoid_ts5_d15,adagrad,sigmoid,5,0.15,1.07547,1.03705,0.79745,3.18053
162,cnn_adagrad_sigmoid_ts5_d20,adagrad,sigmoid,5,0.2,1.07854,1.03853,0.80344,3.19967
163,cnn_adagrad_sigmoid_ts10_d1,adagrad,sigmoid,10,0.01,1.02442,1.01214,0.77753,3.09347
164,cnn_adagrad_sigmoid_ts10_d5,adagrad,sigmoid,10,0.05,1.00944,1.00471,0.78148,3.09896
165,cnn_adagrad_sigmoid_ts10_d10,adagrad,sigmoid,10,0.1,0.99092,0.99545,0.78053,3.08676
166,cnn_adagrad_sigmoid_ts10_d15,adagrad,sigmoid,10,0.15,0.99845,0.99922,0.78736,3.11084
167,cnn_adagrad_sigmoid_ts10_d20,adagrad,sigmoid,10,0.2,1.00680,1.00340,0.78279,3.10065
168,cnn_adagrad_sigmoid_ts15_d1,adagrad,sigmoid,15,0.01,0.90377,0.95067,0.74965,2.95605
169,cnn_adagrad_sigmoid_ts15_d5,adagrad,sigmoid,15,0.05,0.91145,0.95470,0.75581,2.97556
170,cnn_adagrad_sigmoid_ts15_d10,adagrad,sigmoid,15,0.1,0.90890,0.95336,0.75208,2.96430
171,cnn_adagrad_sigmoid_ts15_d15,adagrad,sigmoid,15,0.15,0.91664,0.95741,0.75501,2.97619
172,cnn_adagrad_sigmoid_ts15_d20,adagrad,sigmoid,15,0.2,0.93455,0.96672,0.75280,2.97907
173,cnn_rmsprop_relu_ts5_d1,rmsprop,relu,5,0.01,0.70924,0.84216,0.68524,2.65467
174,cnn_rmsprop_relu_ts5_d5,rmsprop,relu,5,0.05,0.65175,0.80731,0.65236,2.52726
175,cnn_rmsprop_relu_ts5_d10,rmsprop,relu,5,0.1,0.50316,0.70934,0.56159,2.19216
176,cnn_rmsprop_relu_ts5_d15,rmsprop,relu,5,0.15,0.42397,0.65113,0.51682,2.02071
177,cnn_rmsprop_relu_ts5_d20,rmsprop,relu,5,0.2,0.44268,0.66535,0.51747,2.02561
178,cnn_rmsprop_relu_ts10_d1,rmsprop,relu,10,0.01,0.35735,0.59779,0.45356,1.78538
179,cnn_rmsprop_relu_ts10_d5,rmsprop,relu,10,0.05,0.54796,0.74024,0.62984,2.44906
180,cnn_rmsprop_relu_ts10_d10,rmsprop,relu,10,0.1,0.33980,0.58293,0.43988,1.73708
181,cnn_rmsprop_relu_ts10_d15,rmsprop,relu,10,0.15,0.46107,0.67902,0.55998,2.17497
182,cnn_rmsprop_relu_ts10_d20,rmsprop,relu,10,0.2,0.51722,0.71918,0.60213,2.33258
183,cnn_rmsprop_relu_ts15_d1,rmsprop,relu,15,0.01,0.47653,0.69031,0.56193,2.18961
184,cnn_rmsprop_relu_ts15_d5,rmsprop,relu,15,0.05,0.45683,0.67589,0.53990,2.10607
185,cnn_rmsprop_relu_ts15_d10,rmsprop,relu,15,0.1,0.44572,0.66762,0.52446,2.05769
186,cnn_rmsprop_relu_ts15_d15,rmsprop,relu,15,0.15,0.58198,0.76288,0.62021,2.40548
187,cnn_rmsprop_relu_ts15_d20,rmsprop,relu,15,0.2,0.54169,0.73599,0.56281,2.22617
188,cnn_rmsprop_tanh_ts5_d1,rmsprop,tanh,5,0.01,0.37478,0.61219,0.47219,1.85269
189,cnn_rmsprop_tanh_ts5_d5,rmsprop,tanh,5,0.05,0.37452,0.61198,0.48670,1.90273
190,cnn_rmsprop_tanh_ts5_d10,rmsprop,tanh,5,0.1,0.35147,0.59285,0.46234,1.82337
191,cnn_rmsprop_tanh_ts5_d15,rmsprop,tanh,5,0.15,0.58864,0.76723,0.63410,2.46088
